	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Mir378b|Mir378b	0	0	0	0	5	0	0	0	9	14	43	47	48	23	4	4
0610039H22Rik|0610039H22Rik	27	68	53	54	56	27	40	51	3	3	13	10	12	11	9	3
Trim25|Trim25	74	50	95	889	263	0	416	0	3	3	2	11	19	12	218	154
Coil|Coil	933	3423	731	1109	1200	1909	1207	2487	87	96	83	182	160	133	1566	1369
Scpep1os|Scpep1os	0	0	0	0	0	0	15	0	0	0	0	6	8	8	13	4
Scpep1|Scpep1	4521	9369	3143	13351	5806	9051	6057	28288	85	89	103	222	310	211	6109	5060
Nog|Nog	173	203	131	248	526	0	444	0	8	4	52	154	4	1	33	20
Gm525|Gm525	11	119	0	0	0	0	16	0	0	0	0	0	0	0	0	18
Pctp|Pctp	33	529	101	300	42	0	177	0	0	0	12	29	0	0	76	36
Tmem100|Tmem100	782	0	880	428	1150	0	1087	0	2	0	2	6	6	5	38	61
Dgkeos|Dgkeos	0	0	0	0	0	11	45	0	0	0	0	0	0	0	13	0
Dgke|Dgke	8470	4528	5258	11325	10846	12108	12840	8965	644	735	636	1394	1218	853	3792	3082
Ankfn1|Ankfn1	285	542	200	989	331	0	520	0	82	102	8	28	38	29	456	443
LOC108167919|LOC108167919	36	0	0	0	0	0	0	0	4	1	6	7	10	13	11	22
Mmd|Mmd	1287	1856	1280	3670	1838	1332	2357	10640	366	428	127	285	254	176	1586	815
Gm34850|Gm34850	0	83	9	0	36	0	173	0	12	11	8	16	23	19	0	15
Hlf|Hlf	1259	0	750	376	930	2990	1149	1044	635	855	383	1048	575	301	639	1090
Tom1l1|Tom1l1	159	0	299	196	385	0	430	2765	118	148	45	76	56	43	160	182
Stxbp4|Stxbp4	1468	1596	1345	1020	2021	1563	1702	1099	378	456	431	602	797	595	1540	1471
Cox11|Cox11	2183	2820	1556	1890	3520	3661	3453	4372	97	142	172	332	249	186	564	320
Car10|Car10	11034	4203	8048	3084	22416	3249	17883	6593	1187	1231	268	538	942	684	1593	1423
Gm35002|Gm35002	4183	870	3594	1417	6475	53	3590	601	2252	1648	635	496	3234	2345	68	183
Mbtd1|Mbtd1	2161	1530	2291	3978	2240	225	1869	3026	399	529	340	618	950	577	1336	1512
Utp18|Utp18	669	538	901	432	1479	134	1231	1101	90	110	90	113	209	155	561	282
Nme2|Nme2	913	901	417	2270	561	937	492	1327	10	9	26	43	61	54	2501	1937
Nme1|Nme1	2330	2110	1537	6158	2683	2673	2479	11505	115	111	161	297	391	271	9077	7072
B230206L02Rik|B230206L02Rik	76	0	25	130	38	0	124	308	0	0	0	11	5	0	91	83
Gm35338|Gm35338	110	31	92	0	115	0	249	742	4	4	4	24	8	2	63	50
Tob1|Tob1	3193	1529	2474	1927	5668	387	5243	60	412	508	449	854	929	519	991	657
Spag9|Spag9	11968	9874	10083	15599	16430	12126	14787	8462	1350	1799	2317	4273	3181	2304	6424	7417
LOC108167922|LOC108167922	19	17	23	16	6	4	9	6	22	31	40	49	76	48	20	7
Gm38951|Gm38951	137	0	168	0	111	0	346	0	29	22	18	26	51	34	117	79
Abcc3|Abcc3	82	0	47	0	228	0	288	686	13	9	0	13	6	0	10	46
Ankrd40|Ankrd40	1400	1868	780	2596	2575	0	1729	2909	226	246	298	627	638	455	1381	1125
Epn3|Epn3	169	44	136	0	449	655	224	0	4	3	46	57	11	7	86	23
Mycbpap|Mycbpap	195	101	381	1404	853	3356	763	0	44	35	38	68	155	127	768	642
Gm35650|Gm35650	0	0	0	0	0	0	0	0	4	4	5	9	17	6	0	6
Acsf2|Acsf2	52	0	46	0	72	0	122	0	0	0	0	7	0	3	43	36
Chad|Chad	0	0	55	0	0	0	61	0	0	0	0	0	0	0	0	0
Cacna1g|Cacna1g	969	1222	1086	1673	1962	1919	1568	2924	1520	1205	199	529	4727	2599	2979	2574
Rsad1|Rsad1	1285	1047	1382	1426	2680	1289	2611	1061	234	267	559	787	583	333	1204	891
Xylt2|Xylt2	1023	329	668	1846	5561	413	6142	0	95	80	72	267	212	67	1979	783
Sgca|Sgca	0	0	45	0	45	0	15	0	0	0	42	39	34	11	0	0
Col1a1|Col1a1	257	0	641	0	1401	0	2597	182	8	6	0	0	10	11	0	0
Eme1|Eme1	17	0	9	0	0	0	80	0	11	8	22	26	38	20	0	0
Lrrc59|Lrrc59	755	1058	498	1714	1302	424	1316	2776	196	233	242	650	328	230	3354	1371
Mrpl27|Mrpl27	1593	924	758	2213	1255	54	985	921	39	47	55	90	103	95	1829	1459
Ppp1r9b|Ppp1r9b	636	313	674	610	3431	617	1793	99	292	299	262	527	557	276	1074	1057
Gm38956|Gm38956	29	0	31	0	0	0	49	0	16	20	23	41	31	25	74	35
Gm21885|Gm21885	533	944	671	614	1576	0	754	97	102	101	198	283	317	257	197	139
