	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Kcnc3|Kcnc3	10480	2490	6546	3672	32268	8607	20178	2892	749	704	3286	5813	2454	1316	1639	837
Napsa|Napsa	234	80	154	86	209	0	200	152	16	10	43	67	42	20	81	50
Gm15396|Gm15396	108	0	123	110	66	0	41	237	5	7	19	44	13	12	63	33
LOC108167420|LOC108167420	24	17	49	0	284	0	281	0	42	26	54	75	149	69	51	24
Zfp473|Zfp473	6	49	61	0	73	0	132	3458	5	10	19	47	21	13	59	89
Vrk3|Vrk3	960	655	594	2522	1155	0	1081	0	39	49	68	106	155	93	1192	1060
Atf5|Atf5	18	0	107	432	105	0	191	0	11	5	21	60	148	110	185	170
Akt1s1|Akt1s1	773	763	756	3448	2106	0	1796	1884	122	109	156	249	283	154	2244	604
Pnkp|Pnkp	1408	1436	1326	3385	2058	0	1708	2080	158	110	189	285	405	233	3007	2054
Nup62|Nup62	182	0	125	0	522	0	590	0	104	111	145	292	283	191	1597	1073
Gm21948|Gm21948	36	0	3	0	118	0	141	0	27	24	36	78	71	46	172	169
Tbc1d17|Tbc1d17	2288	449	2288	2352	6546	73	6480	3213	137	111	290	440	750	421	9007	7578
Ptov1|Ptov1	728	741	600	4091	1500	331	1045	1297	473	412	440	781	1834	756	1705	1694
Med25|Med25	446	109	604	140	4156	649	4206	0	357	303	340	487	719	369	2682	1686
Tsks|Tsks	0	0	19	0	6	0	14	0	9	15	0	6	0	6	30	17
Fuz|Fuz	415	877	670	920	1474	0	1658	1947	89	57	56	95	261	136	1409	1315
Ap2a1|Ap2a1	744	60	526	1499	6545	556	5673	0	453	365	623	888	892	430	8474	5505
Cpt1c|Cpt1c	8582	5972	6846	11204	12871	14676	15920	25944	679	592	877	1055	2183	1322	11488	9070
Prmt1|Prmt1	1510	2674	1034	4577	1771	348	2352	2606	42	44	84	151	245	164	3228	3042
Prr12|Prr12	173	337	283	1641	953	0	620	0	206	228	347	509	601	231	740	838
Gm15545|Gm15545	0	111	25	0	52	0	131	0	12	19	23	45	45	29	48	36
Bcl2l12|Bcl2l12	0	0	76	0	77	0	120	0	0	5	14	18	19	5	15	25
Irf3|Irf3	1623	692	1419	1742	3019	1008	2240	3215	205	174	501	651	724	562	1140	1094
Scaf1|Scaf1	435	0	471	754	2144	0	1427	403	169	182	311	489	370	194	3469	1758
Rcn3|Rcn3	607	0	782	0	398	0	679	0	0	0	0	3	4	3	14	16
Prrg2|Prrg2	507	19	283	378	793	0	835	0	23	14	30	55	45	28	307	273
Nosip|Nosip	1558	959	1199	832	1900	0	1798	0	103	81	165	325	256	116	2821	2086
Fcgrt|Fcgrt	2793	0	1772	0	2535	950	2718	0	0	0	0	0	0	0	74	38
Dkkl1|Dkkl1	7	683	51	1472	96	0	30	0	66	47	6	26	19	12	194	209
Tead2|Tead2	20	0	50	0	9	0	44	0	4	0	0	5	0	0	0	0
Cd37|Cd37	190	0	250	0	191	0	380	0	4	4	0	2	4	0	22	7
Slc6a16|Slc6a16	0	0	99	0	166	1462	151	1231	11	50	11	22	45	16	296	126
Trpm4|Trpm4	86	361	40	239	526	0	425	535	278	358	210	220	146	73	516	455
Rpl14-ps1|Rpl14-ps1	57	39	32	62	49	68	50	95	5	1	2	5	8	7	52	36
Ppfia3|Ppfia3	421	234	702	675	2501	254	2237	1436	631	645	623	798	1218	645	2556	1451
Mtag2|Mtag2	92	88	163	980	198	0	207	641	32	21	46	83	74	39	176	125
Lin7b|Lin7b	601	1431	756	4484	473	1803	607	0	402	341	386	602	538	272	2719	1929
Flt3l|Flt3l	136	0	157	974	402	0	159	0	55	44	41	45	42	18	1529	859
Pih1d1|Pih1d1	673	316	339	2115	415	279	559	0	59	55	57	104	103	84	740	592
Gfy|Gfy	31	0	17	0	0	0	0	0	15	39	2	4	9	3	8	0
Pth2|Pth2	0	474	156	0	193	0	103	0	0	6	0	0	0	0	0	0
Ccdc155|Ccdc155	182	0	120	201	188	0	174	385	58	69	11	16	28	9	54	41
Gm31097|Gm31097	66	0	14	0	72	0	18	0	22	28	0	0	11	5	12	0
Rps11|Rps11	1447	1696	821	4689	1811	2823	1376	3905	29	20	22	87	107	84	2456	1981
Snord35b|Snord35b	4	0	4	81	17	124	7	0	1	3	5	3	6	3	18	15
Rpl13a|Rpl13a	3368	4140	1633	3686	3147	2817	2302	3579	72	66	103	227	405	254	3736	2690
Snord35a|Snord35a	21	0	26	119	31	0	16	0	2	5	8	10	12	11	16	29
Snord34|Snord34	7	0	6	98	10	0	6	0	1	1	4	6	11	3	8	6
Snord33|Snord33	5	0	11	82	9	0	4	0	2	2	5	3	1	6	6	12
Mir5121|Mir5121	2	0	9	84	11	0	3	0	1	2	3	1	2	3	5	6
Snord32a|Snord32a	6	0	9	0	5	0	4	0	2	4	2	2	4	2	7	11
LOC108167422|LOC108167422	11	0	0	0	12	1	1	0	2	0	2	0	0	0	33	12
Aldh16a1|Aldh16a1	8	0	104	0	559	136	347	0	10	14	34	61	25	11	572	284
Slc17a7|Slc17a7	4695	19	1869	84	20057	175	10585	0	4095	3485	332	1041	755	301	225	70
Snrnp70|Snrnp70	10524	5468	12647	23190	33702	4121	31128	6049	2868	2871	5455	7047	12294	6415	21469	17388
Ruvbl2|Ruvbl2	1301	2674	933	6396	1383	0	1436	2344	127	136	206	385	286	161	2203	1856
Gys1|Gys1	629	264	954	1949	1100	361	1280	0	101	107	358	455	241	138	2202	1495
Bax|Bax	1796	973	1556	1777	3935	0	3507	248	101	84	207	319	644	349	3641	1507
Ftl1|Ftl1	8807	9688	6570	16427	10220	11126	9398	15842	24	10	51	98	139	91	12339	8536
Hsd17b14|Hsd17b14	0	0	15	240	0	0	0	0	0	0	5	4	0	0	0	8
Gm31479|Gm31479	0	0	76	0	39	0	0	0	23	33	13	18	12	20	19	9
0610005C13Rik|0610005C13Rik	11	0	23	186	55	0	24	0	6	5	4	0	13	7	52	26
Bcat2|Bcat2	547	87	507	726	783	0	875	227	81	81	55	99	235	141	948	889
Fgf21|Fgf21	0	0	0	0	65	0	44	0	0	0	0	0	0	0	6	0
Fut1|Fut1	0	0	19	0	0	0	126	0	0	0	0	0	0	2	5	0
Dhdh|Dhdh	120	102	80	0	100	0	171	0	50	51	108	192	128	73	292	264
Tulp2|Tulp2	45	0	53	51	66	0	101	0	5	0	15	20	15	13	118	66
Nucb1|Nucb1	6188	4608	5800	6852	12444	18031	14585	13217	183	197	418	711	632	327	13094	11334
Ppp1r15a|Ppp1r15a	689	1445	1065	1664	2239	0	1817	1698	28	42	55	66	121	65	5727	3408
Rasip1|Rasip1	46	35	98	12	321	0	448	491	18	29	33	35	49	39	137	124
A030001D20Rik|A030001D20Rik	835	2288	516	2113	1540	2385	1150	64	22	18	36	74	54	35	1391	1152
Mamstr|Mamstr	94	0	124	0	326	0	574	0	47	43	144	232	52	28	222	106
Fut2|Fut2	203	86	247	63	378	564	168	0	22	30	53	89	20	16	42	73
Gm39007|Gm39007	0	0	0	0	0	0	0	0	9	14	4	5	8	8	8	16
Car11|Car11	2863	1414	1635	2519	7319	203	6380	2558	1324	1231	1456	2213	3725	1786	6062	5101
Sult2b1|Sult2b1	35	0	55	0	145	0	95	0	14	18	9	21	9	19	89	20
Fam83e|Fam83e	0	0	0	0	14	0	55	0	0	0	0	0	4	0	0	0
Sphk2|Sphk2	172	0	243	0	1742	0	1578	0	213	301	363	550	824	388	2704	1933
LOC108167423|LOC108167423	31	0	0	0	59	0	48	0	30	33	50	32	104	58	74	101
Dbp|Dbp	443	322	216	1579	634	0	920	0	83	118	141	204	174	45	319	103
Rpl18|Rpl18	1201	290	882	1319	1571	687	1013	0	14	6	21	36	26	25	1927	1506
Grwd1|Grwd1	236	0	291	847	415	0	645	0	23	23	55	54	95	94	1840	1053
Lmtk3|Lmtk3	344	402	355	1554	557	556	369	769	1068	944	1268	1523	2323	1223	520	482
Cyth2|Cyth2	1163	2212	1245	2130	1575	1739	2020	809	166	137	244	362	456	313	1344	600
Ccdc114|Ccdc114	340	0	269	0	395	0	464	0	0	2	0	5	26	31	46	0
Grin2d|Grin2d	379	313	314	1043	493	168	216	2254	22	29	776	1106	2155	1087	499	539
Syngr4|Syngr4	13	0	46	139	26	0	30	0	5	6	15	7	18	18	8	6
Tmem143|Tmem143	815	223	500	925	1459	981	1478	275	58	45	101	197	189	100	401	449
Kdelr1|Kdelr1	2847	901	1765	414	4919	3451	4757	2605	54	66	119	258	223	119	1585	1484
Emp3|Emp3	480	0	331	33	257	0	354	1588	9	14	27	29	19	8	36	31
Gm39010|Gm39010	0	0	0	0	19	0	0	0	12	8	23	21	32	11	4	0
Nomo1|Nomo1	3995	3752	3399	6919	12409	1914	11535	10119	267	319	276	682	617	345	4194	2809
Kcnj11|Kcnj11	639	0	203	0	1596	0	673	3	188	136	277	568	153	86	428	400
Abcc8|Abcc8	1298	107	936	1395	11062	0	11178	0	815	797	920	1188	761	367	1507	1232
Kcnc1|Kcnc1	19367	7340	11039	9043	54021	7574	38960	5054	852	970	11206	17680	8793	5538	1044	538
Saa3|Saa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	40
Gm31882|Gm31882	6	0	0	0	43	0	17	0	0	0	0	0	0	0	0	0
Saa1|Saa1	0	197	7	0	8	0	6	0	0	0	0	0	0	0	3	0
Saal1|Saal1	1403	1116	557	873	1872	3001	2311	1470	70	53	65	95	156	110	520	367
Sergef|Sergef	975	691	731	1597	1826	1415	1465	0	582	756	512	617	961	696	1323	992
LOC108167425|LOC108167425	68	108	102	221	28	0	45	0	6	6	16	0	20	14	16	6
Hps5|Hps5	1074	523	1221	1886	2300	1184	1859	1677	215	268	358	429	545	354	1602	1603
Gtf2h1|Gtf2h1	875	520	962	1974	1846	2286	1477	0	113	139	198	256	268	171	2006	1359
Ldha|Ldha	2867	2117	1461	1490	3688	2357	3435	5975	245	260	73	271	393	237	10953	9829
Tsg101|Tsg101	2286	1601	1343	4742	2360	1385	2319	452	29	42	52	94	124	99	3398	2243
Uevld|Uevld	314	848	346	85	831	61	595	109	51	111	64	134	106	97	514	321
Gm39012|Gm39012	360	229	441	665	782	642	787	965	4	5	5	9	17	12	346	301
C86187|C86187	8	128	24	0	0	0	0	0	4	0	0	7	4	2	0	5
Spty2d1|Spty2d1	982	942	858	2016	1709	3695	1807	146	75	107	90	153	176	111	2062	1771
Gm32031|Gm32031	220	73	103	471	117	149	137	0	10	6	18	32	64	24	39	25
Tmem86a|Tmem86a	1193	1001	1046	1867	1925	3534	2613	0	38	32	46	108	87	46	1469	1243
Ptpn5|Ptpn5	3504	2222	3159	9234	5259	2978	7002	6528	1579	1366	834	1455	4212	2542	16805	15156
Gm14377|Gm14377	0	0	12	0	22	0	0	0	228	346	96	130	357	288	42	33
Mir7056|Mir7056	5	0	2	60	9	0	7	0	2	2	2	2	3	6	12	18
Zdhhc13|Zdhhc13	1813	500	1596	8841	3516	4023	3117	6517	188	195	140	270	353	262	1349	1070
Htatip2|Htatip2	451	1656	453	87	290	1141	446	2983	44	21	34	55	57	64	943	838
LOC108167428|LOC108167428	101	180	78	0	55	0	47	1335	30	32	31	56	71	39	51	131
Prmt3|Prmt3	630	692	592	1678	991	0	1723	0	127	172	271	396	510	358	1066	696
Nav2|Nav2	3683	3865	3919	8768	8997	4990	6648	2359	2158	2073	3358	4220	6715	3797	2616	1442
LOC108167511|LOC108167511	92	0	78	0	170	0	11	0	64	86	29	42	72	40	69	33
Gm32849|Gm32849	938	82	1008	919	1177	50	564	0	209	421	141	161	307	203	412	204
Gm32694|Gm32694	410	0	162	208	528	0	317	0	88	67	79	104	162	134	69	59
Slc6a5|Slc6a5	1833	6691	2178	9043	2678	3216	3239	3133	0	8	3	2	4	0	697	8
4933405O20Rik|4933405O20Rik	0	0	6	0	0	0	0	0	26	35	15	18	37	32	0	0
Nell1|Nell1	4382	12243	3718	9782	4650	22301	6334	27429	274	294	89	234	402	294	1010	1037
Gas2|Gas2	799	752	651	1780	484	254	707	0	84	121	189	199	249	181	694	645
Fancf|Fancf	13	0	2	153	5	0	21	0	13	8	28	42	38	37	79	50
Svip|Svip	1421	1973	811	1158	1557	87	1715	2466	136	167	190	257	272	221	1528	1583
Gm33190|Gm33190	0	5	24	128	30	0	70	0	0	0	0	4	0	0	49	50
Ano5|Ano5	798	631	543	2292	460	0	284	972	18	12	75	107	143	109	191	108
Slc17a6|Slc17a6	21914	32098	15046	65327	9933	57529	14242	115024	166	128	13	46	13	14	4591	4760
LOC108167429|LOC108167429	206	816	146	412	119	614	116	845	0	2	0	3	0	0	55	41
Siglech|Siglech	346	439	482	194	526	0	638	0	4	9	2	4	11	0	112	69
Luzp2|Luzp2	11763	7354	12178	10344	14213	1966	15837	13995	110	112	458	945	307	203	4720	4511
Tubgcp5|Tubgcp5	2892	2863	2783	3807	5666	469	4684	2180	239	415	376	609	457	350	2905	2424
Cyfip1|Cyfip1	3259	510	2117	1779	4791	1127	3718	1297	482	581	490	695	1415	994	2167	1623
Nipa2|Nipa2	1832	1716	1482	3569	2459	1944	2186	6512	108	95	70	175	200	130	1662	999
Gm39016|Gm39016	143	116	206	427	130	0	209	206	24	31	18	37	60	36	32	75
A230056P14Rik|A230056P14Rik	279	102	256	381	281	607	292	612	46	63	48	78	54	48	219	254
Nipa1|Nipa1	1278	532	759	1877	738	1011	1172	1571	106	123	114	206	127	131	455	487
Gm34121|Gm34121	39	27	88	107	14	0	93	0	24	13	39	48	31	40	139	159
Herc2|Herc2	4124	941	3740	6865	8306	2218	7976	0	2186	3099	2188	2758	3638	2879	8592	8193
Gm39017|Gm39017	0	0	52	0	0	0	0	0	266	212	1147	798	1023	947	2	22
Gabra5|Gabra5	1871	1863	1458	5447	1416	5335	1792	11390	192	228	106	273	136	87	256	157
Gabrg3|Gabrg3	1167	588	724	1784	888	1391	863	8995	379	470	1817	3160	1948	1312	321	309
Gm9962|Gm9962	22	4	83	79	34	0	62	222	12	11	64	89	68	62	93	16
Gm42385|Gm42385	8	0	7	0	0	0	20	0	0	4	4	0	0	3	7	0
Gabrb3|Gabrb3	10130	6269	4611	12738	11148	13494	10598	14575	2229	2830	1066	2553	3400	2348	1870	1890
Atp10a|Atp10a	35	614	137	0	126	0	472	0	64	88	13	25	12	16	57	37
Gm39019|Gm39019	42	304	65	33	25	0	6	0	10	15	2	4	2	8	14	0
LOC102637691|LOC102637691	19	0	0	35	13	0	35	0	124	105	240	189	894	493	148	138
Gm42391|Gm42391	0	0	0	0	5	0	0	0	0	47	0	88	188	0	25	10
Gm42387|Gm42387	47	0	0	22	72	0	64	0	0	0	0	0	0	0	41	75
LOC101055630|LOC101055630	93	103	42	193	88	0	83	0	208	196	422	359	1101	676	226	246
Ube3a|Ube3a	12268	13332	12825	34910	15717	21394	11721	16062	1190	1267	2049	2268	4148	2988	4641	3768
C230091D08Rik|C230091D08Rik	3273	3007	3076	9802	3796	3052	2611	357	562	601	803	765	1519	1150	1409	1983
Gm22496|Gm22496	532	259	314	232	904	0	419	198	536	611	991	1027	1985	1408	282	497
Gm42386|Gm42386	44	0	25	0	132	0	56	0	31	20	49	24	75	83	27	64
LOC102640292|LOC102640292	24	14	10	34	35	0	12	0	26	30	60	45	130	89	8	16
LOC102640399|LOC102640399	1385	1218	1305	2511	2719	841	1499	148	218	230	345	242	825	628	1155	1128
Ipw|Ipw	493	905	425	1034	891	0	556	17	412	409	641	566	990	1050	432	432
Snhg14|Snhg14	1205	2250	1155	5465	1042	1161	763	4979	317	400	493	523	1062	653	559	764
Snord64|Snord64	8	0	6	0	0	0	1	7	2	3	6	1	9	10	9	12
Snurf|Snurf	5790	5837	6196	22806	9766	27134	7122	43650	830	945	1200	1920	1867	1171	6380	13135
Snrpn|Snrpn	18486	20888	10109	42059	12909	19780	16834	41036	963	839	1296	2129	1972	1526	33872	19435
Gm29729|Gm29729	803	2064	699	2407	442	874	224	2156	232	249	10	12	443	208	620	557
Gm30829|Gm30829	203	384	127	160	153	258	105	724	17	16	0	0	18	14	135	78
B230209E15Rik|B230209E15Rik	881	2162	688	6594	690	4484	668	2467	198	322	93	172	290	218	3232	3101
A230006K03Rik|A230006K03Rik	1355	3842	1975	11004	978	5505	1051	3756	2126	2689	1398	2065	4069	2909	4044	3520
Gm38451|Gm38451	278	73	211	627	209	631	44	731	317	297	236	264	630	459	557	442
Gm31445|Gm31445	1967	4234	1644	7084	837	134	1098	3313	373	476	210	186	702	415	1537	661
A230057D06Rik|A230057D06Rik	1026	1066	1086	3117	1355	674	759	1061	321	322	581	650	1265	952	757	840
Mir344b|Mir344b	2	17	0	4	1	0	2	0	1	4	3	3	8	5	1	4
Mir344c|Mir344c	62	22	37	14	27	0	30	0	5	3	8	10	34	20	5	3
Mir344-2|Mir344-2	5	0	0	0	8	0	14	0	4	5	10	20	50	22	3	7
A330076H08Rik|A330076H08Rik	9629	5355	6322	6461	15949	5897	11042	6977	476	499	838	950	3226	2047	5701	7147
Mir344g|Mir344g	237	191	139	287	211	166	184	112	7	7	14	16	27	23	22	26
Mir344i|Mir344i	17	6	7	90	4	105	6	0	3	3	4	6	5	4	1	2
LOC108167432|LOC108167432	0	118	82	159	104	0	133	0	37	41	34	30	68	79	105	107
Gm9801|Gm9801	984	2946	1130	3695	1049	1681	1248	3003	230	290	279	250	695	531	1695	2261
Ndn|Ndn	5005	6590	3109	7070	6147	5506	7418	28191	33	42	32	119	489	313	38666	33846
Magel2|Magel2	88	0	83	779	262	0	590	0	2	1	10	8	242	144	1833	1607
Mkrn3|Mkrn3	215	0	168	0	998	0	679	0	1	0	38	67	1	4	48	0
Chrna7|Chrna7	341	0	253	0	502	0	1149	0	52	87	71	138	407	260	702	331
Gm39023|Gm39023	32	0	76	0	154	0	52	0	0	0	0	0	0	0	0	6
Otud7a|Otud7a	741	1395	848	74	1815	124	1090	10	518	571	638	1016	1156	737	413	296
Gm32633|Gm32633	36	0	41	0	0	0	8	0	0	0	0	0	0	0	0	0
Gm27252|Gm27252	81	0	237	0	279	0	35	0	67	61	52	69	163	104	187	261
E030018B13Rik|E030018B13Rik	12	0	0	0	3	0	9	0	18	11	14	22	28	39	10	6
Klf13|Klf13	6214	3035	5592	11286	8448	1715	7467	7244	250	343	92	369	570	361	322	291
LOC108167433|LOC108167433	668	218	675	0	1579	0	1143	0	184	194	90	122	413	288	177	161
Mtmr10|Mtmr10	841	268	1053	100	1882	1063	2614	682	132	118	87	119	168	129	812	611
Fan1|Fan1	679	138	700	49	619	1718	1043	2754	32	21	47	59	66	53	1171	859
Mphosph10|Mphosph10	886	844	872	863	1705	10	1655	772	76	112	29	76	49	56	1175	1071
Mcee|Mcee	135	52	102	24	236	0	145	68	10	13	12	49	47	37	451	290
Apba2|Apba2	1329	985	1145	4168	3586	61	2902	603	630	758	482	835	843	502	2329	1431
Gm32963|Gm32963	18	0	6	0	0	0	0	0	54	64	42	44	68	60	12	0
Fam189a1|Fam189a1	267	1081	241	987	476	17	454	1976	645	695	580	1120	1048	520	1170	1203
Ndnl2|Ndnl2	1078	784	860	973	1778	1423	1380	4570	33	30	32	49	91	55	1192	463
BC046251|BC046251	0	0	47	84	23	0	0	0	14	23	18	20	8	9	41	12
Tjp1|Tjp1	1699	259	1749	4425	2309	0	2074	814	934	1096	837	1455	1057	779	1234	1578
Gm33068|Gm33068	38	0	37	0	49	0	38	0	16	10	23	15	54	38	0	0
Gm33234|Gm33234	0	0	0	194	15	196	3	0	3	5	8	8	5	0	19	14
Tarsl2|Tarsl2	382	509	282	1141	448	0	563	0	114	138	100	206	149	115	398	387
Tm2d3|Tm2d3	17122	21448	8917	43279	11201	26181	12214	67829	85	99	110	259	399	244	4212	3401
Gm20684|Gm20684	0	0	9	225	7	0	0	0	0	0	0	0	4	2	38	49
Pcsk6|Pcsk6	973	28	1224	605	2304	0	1579	0	4	8	7	11	41	37	515	579
Snrpa1|Snrpa1	1556	1670	1650	3917	2417	1143	2322	0	70	62	99	155	224	172	1688	1471
Vimp|Vimp	17677	9717	9628	20275	14176	14492	15621	24782	99	105	99	169	180	138	5300	4501
Chsy1|Chsy1	1204	1605	891	3748	669	827	548	1694	88	78	75	158	144	109	193	136
Aldh1a3|Aldh1a3	0	0	47	0	0	0	37	0	10	4	0	3	0	0	0	0
Lrrk1|Lrrk1	62	0	62	0	110	0	119	0	0	5	11	0	4	0	8	15
Asb7|Asb7	1787	553	1631	3370	2340	616	2516	2208	313	423	456	693	575	362	776	890
Lins1|Lins1	409	427	236	0	854	0	726	0	92	129	108	176	238	168	942	1030
Cers3|Cers3	0	463	44	0	0	0	52	0	4	6	9	12	9	9	58	94
Gm33627|Gm33627	0	119	22	0	0	0	0	0	3	4	11	12	15	8	6	13
Adamts17|Adamts17	28	220	186	0	125	0	292	0	212	329	597	853	1111	599	314	213
1700112J16Rik|1700112J16Rik	43	0	46	363	152	0	102	1282	6	3	13	11	13	9	211	237
Lysmd4|Lysmd4	789	1035	1050	1707	2697	0	2515	8845	126	160	158	255	362	247	1606	1428
Mef2a|Mef2a	4280	1635	2790	3197	6564	0	6331	1459	610	683	692	1373	1281	941	2464	2531
Ttc23|Ttc23	62	18	21	0	37	0	137	0	16	14	29	35	11	6	80	0
Gm34140|Gm34140	0	0	55	0	0	0	40	0	9	5	29	31	15	7	8	0
Synm|Synm	664	0	781	927	644	0	1089	501	67	113	99	221	117	85	367	145
Lrrc28|Lrrc28	595	367	538	961	864	0	1107	0	92	100	120	181	246	165	759	468
Gm34079|Gm34079	282	0	428	0	356	0	266	0	49	66	73	116	133	78	110	44
LOC108167436|LOC108167436	0	0	26	0	9	0	23	0	30	56	39	57	100	61	0	0
Arrdc4|Arrdc4	351	0	111	0	194	292	272	0	39	53	27	55	108	59	689	418
Gm29683|Gm29683	17	0	0	0	29	0	43	0	0	0	0	0	35	32	0	0
Igf1r|Igf1r	6189	3489	4748	8406	10638	4510	8979	5812	870	788	614	1146	1992	1260	989	1249
Pgpep1l|Pgpep1l	37	0	18	0	28	0	12	0	2	0	6	5	12	9	38	42
LOC108167437|LOC108167437	165	0	72	0	15	0	77	2492	27	28	2	7	747	602	33	0
Nr2f2|Nr2f2	628	536	588	406	486	630	696	232	17	25	6	12	726	436	212	124
Gm28258|Gm28258	0	0	15	0	0	0	22	0	4	3	0	0	143	95	0	4
B130024G19Rik|B130024G19Rik	282	18	156	972	264	104	358	1273	15	20	0	2	421	344	9	46
Rpl17-ps10|Rpl17-ps10	24	42	16	57	5	12	0	47	0	0	0	1	0	0	0	0
Gm20083|Gm20083	264	0	44	0	44	0	50	0	2	2	0	0	5	0	27	10
Gm30075|Gm30075	0	0	90	0	9	0	95	0	0	0	2	0	5	0	8	46
Mctp2|Mctp2	0	0	25	765	45	0	78	1994	42	47	38	81	6	2	363	405
Rgma|Rgma	440	381	527	870	2844	0	4686	0	58	84	18	107	301	145	320	325
LOC100505025|LOC100505025	0	0	0	0	0	0	0	0	2	2	0	0	8	6	20	19
A730056A06Rik|A730056A06Rik	30	0	17	0	27	0	47	0	5	6	3	4	10	17	61	15
Gm30149|Gm30149	91	146	45	348	96	0	168	8	0	2	4	11	11	0	29	39
Gm7710|Gm7710	1303	682	480	2165	1102	889	1069	5108	6	5	6	21	8	5	130	121
Chd2|Chd2	5423	3558	4083	5512	9608	6528	7486	3022	842	898	1202	1716	2036	1615	2597	3018
1810026B05Rik|1810026B05Rik	3426	1815	1852	2968	3903	410	2984	8	166	187	188	195	463	380	675	700
Fam174b|Fam174b	1173	182	811	1025	1145	992	2012	7082	76	97	98	241	269	181	1041	550
St8sia2|St8sia2	504	165	847	57	857	593	1099	3453	16	16	95	166	38	24	537	444
Slco3a1|Slco3a1	4133	3768	4080	2779	5672	2730	6977	6085	259	249	647	1130	639	478	2765	1875
LOC108167440|LOC108167440	142	0	265	550	206	0	334	0	2	2	0	4	3	0	20	26
Klhl25|Klhl25	229	0	81	257	356	0	455	0	22	18	17	38	25	18	641	484
Akap13|Akap13	956	652	1373	893	1459	5	1596	471	1545	1486	250	487	232	128	2168	1824
1500012K07Rik|1500012K07Rik	21	0	23	0	93	0	60	0	4	5	0	0	0	0	15	12
Sv2b|Sv2b	16676	5085	8840	10279	31087	32869	32936	6199	4079	4396	297	1087	556	346	5795	5243
Ntrk3|Ntrk3	8041	6268	5954	8231	14001	4743	12738	8807	3086	3151	5863	7816	6523	4418	2724	2600
Gm39038|Gm39038	814	510	713	805	1485	0	757	0	806	1026	805	703	990	909	63	51
Mrpl46|Mrpl46	569	502	396	1815	955	2468	745	1348	35	41	46	111	87	80	1666	1120
Mrps11|Mrps11	756	907	573	1972	925	0	619	301	44	40	133	200	201	152	871	701
Det1|Det1	562	653	350	1107	632	669	892	621	17	20	56	74	60	40	543	487
Isg20|Isg20	0	0	41	0	34	0	32	0	5	6	13	9	0	5	453	207
Gm39039|Gm39039	15	0	8	0	13	0	44	0	0	0	0	0	0	0	21	11
Aen|Aen	487	820	359	1560	646	0	523	0	12	14	25	33	26	17	1419	1102
Hapln3|Hapln3	0	0	66	0	22	0	47	0	0	0	28	54	8	6	13	0
Gm26633|Gm26633	0	0	0	0	0	0	8	0	2	2	103	80	6	2	27	0
Acan|Acan	391	294	273	0	202	0	207	1312	0	4	304	491	20	11	125	109
Mfge8|Mfge8	7250	426	6328	2477	8086	0	11810	0	26	25	17	64	81	54	421	288
Rlbp1|Rlbp1	203	0	114	0	53	0	154	0	4	3	0	8	5	4	20	52
Abhd2|Abhd2	153	3	41	0	378	0	591	0	552	609	556	943	547	391	194	115
Gm39041|Gm39041	0	0	95	0	38	0	79	0	203	259	301	386	309	209	2	18
Fanci|Fanci	43	0	82	155	95	0	66	0	28	40	44	54	55	40	44	48
Polg|Polg	648	436	1135	3689	4014	1043	3759	0	545	585	703	897	799	572	2189	1443
Gm31740|Gm31740	0	0	0	0	0	0	0	0	8	6	14	21	9	13	0	0
Gm35040|Gm35040	0	0	0	0	41	0	62	0	23	28	23	48	33	24	10	23
Mir9-3hg|Mir9-3hg	361	0	354	0	1236	0	824	0	246	257	228	327	470	319	154	56
Ticrr|Ticrr	32	0	14	0	73	0	0	0	0	0	0	0	0	0	2	0
Kif7|Kif7	22	0	135	530	140	0	119	0	9	5	21	56	49	25	119	73
Pex11a|Pex11a	340	237	131	22	285	0	311	0	13	15	15	27	37	32	376	189
Wdr93|Wdr93	38	0	94	0	19	79	89	463	0	0	0	0	8	0	57	0
Anpep|Anpep	153	0	61	0	377	0	336	0	0	0	0	0	0	0	15	0
Ap3s2|Ap3s2	584	909	822	930	2859	276	3538	29	238	276	385	807	661	416	3378	2297
Gm31966|Gm31966	0	0	38	0	0	0	0	290	4	4	6	14	6	0	17	14
Arpin|Arpin	527	443	475	480	363	0	601	0	50	61	110	170	111	88	801	604
Zfp710|Zfp710	435	0	500	492	751	1073	861	0	96	97	137	209	303	196	417	383
Idh2|Idh2	1229	2833	1426	2215	2054	1654	2610	3601	77	100	260	384	936	578	4455	1710
Ttll13|Ttll13	42	0	104	0	88	0	37	0	7	0	13	14	8	0	74	94
Cib1|Cib1	374	0	302	1620	219	0	389	0	9	7	13	25	26	11	211	121
Sema4b|Sema4b	500	583	764	1763	569	325	719	214	107	89	168	298	281	137	176	210
Gdpgp1|Gdpgp1	457	678	96	1165	413	0	532	0	42	49	95	171	65	44	1329	891
Ngrn|Ngrn	1615	487	856	4429	1554	3978	1273	4905	77	54	110	200	197	160	4712	3290
Prc1|Prc1	107	174	90	107	197	0	154	0	50	33	89	133	295	101	123	165
